repair_attempt_id,repair_row_id,variant,warm_start,target_factor,truth_model,study_scenario,background_toy_index,mass_GeV,optimizer_seed,optimizer_restarts,attempt_path,result_path,result_sha256,lml,ls_opt,ls_init,const_opt,kernel_constant_init,kernel_ls_init,actual_fit,interpolation_used
repair__f06__gengamma__2021_10pct__t0009__m050__salt_01,repair__f06__gengamma__2021_10pct__t0009__m050,salt_01,False,6,gengamma,2021_10pct,9,0.05,3952666487,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_10pct/toy_0009/m050MeV/salt_01/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_10pct/toy_0009/m050MeV/salt_01/attempt_001/repair_row_enriched.csv,7ef86499a7d49b42d4c504ee5ab49a8e4a8e3468658286ac160ab136565b9bbd,1632.582926244488,0.2346535683564407,0.1004726553650726,54.97342060052629,1.0,0.1004726553650726,True,False
repair__f06__gengamma__2021_10pct__t0009__m050__salt_02,repair__f06__gengamma__2021_10pct__t0009__m050,salt_02,False,6,gengamma,2021_10pct,9,0.05,672527905,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_10pct/toy_0009/m050MeV/salt_02/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_10pct/toy_0009/m050MeV/salt_02/attempt_001/repair_row_enriched.csv,cf8a9757768176605066b9a541f5506c1d8e8a25248ed6166d6b50b1a9998b03,1632.5829262305303,0.2346535683564407,0.1004726553650726,54.97463782613118,1.0,0.1004726553650726,True,False
repair__f06__gengamma__2021_10pct__t0009__m050__salt_03,repair__f06__gengamma__2021_10pct__t0009__m050,salt_03,False,6,gengamma,2021_10pct,9,0.05,3426086060,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_10pct/toy_0009/m050MeV/salt_03/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_10pct/toy_0009/m050MeV/salt_03/attempt_001/repair_row_enriched.csv,23092187497e65d2770472fe16a32f1053d9cd857f007f0db747a57e43d129be,1632.5829268593527,0.2346535683564407,0.1004726553650726,54.97286733340513,1.0,0.1004726553650726,True,False
repair__f06__gengamma__2021_10pct__t0009__m050__warm,repair__f06__gengamma__2021_10pct__t0009__m050,warm,True,6,gengamma,2021_10pct,9,0.05,324943653,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_10pct/toy_0009/m050MeV/warm/attempt_002,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_10pct/toy_0009/m050MeV/warm/attempt_002/repair_row_enriched.csv,2cc037e195dbc7e31a59d4d7713b556e0da443efd40161d04d0f3183433692e9,1632.582926383591,0.2346535683564407,0.1004726553650726,54.975409554613,1.0,0.2050889489557788,True,False
repair__f06__gengamma__2021_10pct__t0009__m070__salt_01,repair__f06__gengamma__2021_10pct__t0009__m070,salt_01,False,6,gengamma,2021_10pct,9,0.07,1816083937,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_10pct/toy_0009/m070MeV/salt_01/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_10pct/toy_0009/m070MeV/salt_01/attempt_001/repair_row_enriched.csv,924fffe1ad3d00955a58a3d65809bff71af416cfd31422daa697fedae22e3f6a,1581.8916480911432,0.1834069702257643,0.0785301729699417,35.5853608509394,1.0,0.0785301729699417,True,False
repair__f06__gengamma__2021_10pct__t0009__m070__salt_02,repair__f06__gengamma__2021_10pct__t0009__m070,salt_02,False,6,gengamma,2021_10pct,9,0.07,3677260689,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_10pct/toy_0009/m070MeV/salt_02/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_10pct/toy_0009/m070MeV/salt_02/attempt_001/repair_row_enriched.csv,e5736034ad56aed8379eb380ac9c84e26f3b8eb56ef261332ab72a103069b934,1581.8916477850337,0.1834069702257643,0.0785301729699417,35.587022542047535,1.0,0.0785301729699417,True,False
repair__f06__gengamma__2021_10pct__t0009__m070__salt_03,repair__f06__gengamma__2021_10pct__t0009__m070,salt_03,False,6,gengamma,2021_10pct,9,0.07,2029779342,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_10pct/toy_0009/m070MeV/salt_03/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_10pct/toy_0009/m070MeV/salt_03/attempt_001/repair_row_enriched.csv,f0176bf29e4f6e2561c1aeec7341575e3494a047fde29c0ad270911967b0a0a4,1581.8916479237052,0.1834069702257643,0.0785301729699417,35.58857486088296,1.0,0.0785301729699417,True,False
repair__f06__gengamma__2021_10pct__t0009__m070__warm,repair__f06__gengamma__2021_10pct__t0009__m070,warm,True,6,gengamma,2021_10pct,9,0.07,2213826863,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_10pct/toy_0009/m070MeV/warm/attempt_002,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_10pct/toy_0009/m070MeV/warm/attempt_002/repair_row_enriched.csv,c03aa2935a9867fb345799fe82c465a9d14a1d4af255457aeec850db38102470,1581.8916475061117,0.1834069702257643,0.0785301729699417,35.58682892700461,1.0,0.160299044324051,True,False
repair__f06__gengamma__2021_10pct_x10__t0006__m150__salt_01,repair__f06__gengamma__2021_10pct_x10__t0006__m150,salt_01,False,6,gengamma,2021_10pct_x10,6,0.15,4041382183,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_10pct_x10/toy_0006/m150MeV/salt_01/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_10pct_x10/toy_0006/m150MeV/salt_01/attempt_001/repair_row_enriched.csv,682e66e683adb6286b02026b0f2b536952fd247d650636059530986d5bc22bde,1903.123037032938,0.1412907741906139,0.0604970951899364,41.30557268262488,1.0,0.0604970951899364,True,False
repair__f06__gengamma__2021_10pct_x10__t0006__m150__salt_02,repair__f06__gengamma__2021_10pct_x10__t0006__m150,salt_02,False,6,gengamma,2021_10pct_x10,6,0.15,3348760371,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_10pct_x10/toy_0006/m150MeV/salt_02/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_10pct_x10/toy_0006/m150MeV/salt_02/attempt_001/repair_row_enriched.csv,d6b0c1ad187538ae9c6d5a0a195f6fe302755c1bbcfbdaa05d6ef13da9dffb00,1903.123033244942,0.1412907741906139,0.0604970951899364,41.30674744500216,1.0,0.0604970951899364,True,False
