category,candidate,source_date,source_asset,configuration_or_table,note_local_asset,recommendation,claim_boundary
closure,2015 length-scale scan,2026-06-30,/Users/emryspeets/Desktop/gp_mods/funcform_studies/lengthscale_bounds_2015_100toy_20260630/section_plots/fig40_style_2015_lslb_closure_suite_100toy.png,/Users/emryspeets/Desktop/gp_mods/funcform_studies/lengthscale_bounds_2015_100toy_20260630/configs_lslb/highstat/,toy_generation_figs/v3_20260709_lslb_closure/fig40_style_2015_lslb_closure_suite_100toy.png,main with qualified frozen-choice text,"100-toy error-barred closure scan; aggregate score slightly prefers 1.1, while the frozen analysis value is 1.0"
closure,2016 length-scale scan,2026-06-30,/Users/emryspeets/Desktop/gp_mods/funcform_studies/lengthscale_bounds_2016_100toy_20260630/section_plots/fig40_style_2016_lslb_closure_suite_25toy.png,/Users/emryspeets/Desktop/gp_mods/funcform_studies/lengthscale_bounds_2016_100toy_20260630/configs_lslb/highstat/,toy_generation_figs/v3_20260709_lslb_closure/fig40_style_2016_lslb_closure_suite_25toy.png,main,"25-toy error-barred closure scan; 0.9 has the best aggregate score and reduces coherent mean-pull bias"
closure,2021 corrected search50 refmatched scan,2026-07-02,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/funcform_2021_search50_project30_fSigPowExpQ_upper9_refmatched_closure_20260702/plots/fig40_style_2021_search50_project30_refmatched_lslb_closure_suite_25toy.png,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/funcform_2021_search50_project30_fSigPowExpQ_upper9_refmatched_closure_20260702/configs/highstat/,toy_generation_figs/v3_20260709_lslb_closure/fig40_style_2021_search50_project30_refmatched_lslb_closure_suite_25toy.png,main with calibration-reach tradeoff text,"Corrected final_1pct input and matched-refit reference; 1.1 has width closest to unity and strongest proxy but is not the aggregate-score winner"
closure,legacy four-panel suites originally figures 45-47,pre-2026-06-30,"hps_gpr_analysis_note/toy_generation_figs/closure_validation_suite_{2015_fShiftSigPowTail,2016_fShiftSigPowTail,2021_fSigPowExpQ}.png",legacy fixed-configuration studies,,appendix,"Retain as study history; superseded in main by lower-bound scans"
closure,legacy refmatched two-panel summaries originally figures 51-53,pre-2026-06-30,"hps_gpr_analysis_note/injection_extraction_figs/refmatched_train2p25_{pull_vs_mass,z_calibration_residual}_{2015,2016,2021}.png",legacy refmatched studies,,appendix,"Useful cross-checks but redundant with newer headline lower-bound scans"
limit,combined 90 percent CLs bands and observed candidate,2026-07-10,/Users/emryspeets/Desktop/gp_mods/combined_15_16_10pct_21_1pct/final_pre_unblind/summary_combined_all_note_corrected/combined_90cls_dimuon_corrected_eps2.png,provenance/combined_ul_bands_combined_all_v3_review.csv,final_limit_projection_figs/v3_20260709_final_preunblind/combined_90cls_dimuon_corrected_eps2.png,main with documented repair caveat,"Frozen factors 1.0/0.9/1.1; the displayed 136 MeV observed point uses the logged adjacent-mass repair"
limit,combined observed-only candidate,2026-07-08,/Users/emryspeets/Desktop/gp_mods/combined_15_16_10pct_21_1pct/final_pre_unblind/summary_combined_all_note_corrected/ul_observed_only_eps2.png,summary_combined_all_note_corrected/plot_repair_audit.csv,final_limit_projection_figs/v3_20260709_final_preunblind/ul_observed_only_eps2.png,appendix or supporting main figure,"Not an independent comparison plot and inherits the same postprocessing caveat"
limit,2021 signal-yield bands,2026-07-10,/Users/emryspeets/Desktop/gp_mods/combined_15_16_10pct_21_1pct/final_pre_unblind/summary_combined_all_note_corrected/2021_UL_sig_yield_bands.png,provenance/combined_ul_bands_2021_v3_review.csv,final_limit_projection_figs/v3_20260709_final_preunblind/2021_UL_sig_yield_bands.png,main stacked above the 2021 epsilon-squared figure,"Correct input and frozen 1.1 factor; the 136 MeV value follows the common logged adjacent-mass rule"
limit,2021 epsilon-squared bands,2026-07-10,/Users/emryspeets/Desktop/gp_mods/combined_15_16_10pct_21_1pct/final_pre_unblind/summary_combined_all_note_corrected/2021_UL_eps2_bands.png,provenance/combined_ul_bands_2021_v3_review.csv,final_limit_projection_figs/v3_20260709_final_preunblind/2021_UL_eps2_bands.png,main stacked below the 2021 signal-yield figure,"Includes the minimal-model dimuon correction and the same 136 MeV display repair"
diagnostic,combined local and Sidak-equivalent p0 curves,2026-07-10,final_pre_unblind/combined_ul_bands_combined_all.csv,provenance/v3_pvalue_summary.csv,final_limit_projection_figs/v3_20260709_final_preunblind/combined_local_p0_points.png,main,"Connected asymptotic local p0 curve; minimum 0.003895 at 51 MeV and corresponding Sidak value 0.129"
diagnostic,individual asymptotic local and Sidak-equivalent p0 curves,2026-07-10,final_pre_unblind/combined_single.csv plus combined_ul_bands_2021.csv,provenance/v3_pvalue_summary.csv,final_limit_projection_figs/v3_20260709_final_preunblind/individual_asymptotic_local_global_pvalues.png,main,"Failed 2015 24 and 2016 44 98 133 171 MeV fits are omitted rather than assigning interpolated p-values"
diagnostic,combined upper-limit consistency p-values,2026-07-10,final_pre_unblind/combined_ul_bands_combined_all.csv,provenance/v3_pvalue_summary.csv plus v3_tail_pvalue_exclusions.csv,final_limit_projection_figs/v3_20260709_final_preunblind/combined_limit_tail_pvalues_points.png,main,"Connected strong weak and bounded two-sided curves from 10000 background-only joint pseudoexperiments; superseded observed-limit rows are omitted"
diagnostic,connected Sidak p0 and tail-area plots,2026-07-08,"/Users/emryspeets/Desktop/gp_mods/combined_15_16_10pct_21_1pct/final_pre_unblind/summary_combined_all_note_corrected/{p0_analytic_local_global,ul_pvalues}.png",final-pre-unblind raw CSV plus spacing-derived effective trials,final_limit_projection_figs/v3_20260709_final_preunblind/p0_analytic_local_global.png,appendix,"Sidak is a review reference only; final global discovery calibration needs max-q0 toys"
projection,current versus full-campaign observed-based and expected-median curves,2026-07-10,provenance/combined_ul_bands_combined_all_v3_review.csv,per-row meta densities with campaign factors 2015x1 2016x10 2021x100,final_limit_projection_figs/v3_20260709_final_preunblind/final_preunblind_current_vs_full_campaign_projection_eps2.png,main planning comparison,"Continuous density-scaled curves with no refit; the combined 136 MeV display repair propagates to both projected curves"
projection,July-2 standalone 2021 projections,2026-07-02,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/observed_ul_2021_search50_project30_upper9_scaled90_dimuon_20260702/projections/,config_2021_search50_project30_upper9_scaled90_observed_no_toys.yaml,,exclude from latest main result,"The actual configuration has 2021 lower factor 1.0 rather than the frozen 1.1"
projection,older combined projections,2026-05 through 2026-06,"hps_gpr_analysis_note/final_limit_projection_figs/{projections,90cls/projections}/",pre-final per-dataset lower factors,,appendix historical only,"Useful study history but not generated from the July-8 frozen configuration"
comparison,observed individual-versus-simultaneous-combined limits with epsilon ratio,2026-07-10,provenance/individual_observed_limits_v3_review.csv plus combined_ul_bands_combined_all_v3_review.csv,provenance/v3_display_repair_audit.csv,final_limit_projection_figs/v3_20260709_final_preunblind/observed_individual_vs_combined_90cl_eps2_epsilon_ratio.png,main with documented display-repair statement,"Clean connected curves with no mismatch markers; exact 2015 2016 and combined repairs are retained in the audit table"
comparison,older observed individual-versus-combined overlays,2026-06-10,hps_gpr_analysis_note/final_limit_projection_figs/90cls/combined/observed_90cls_eps2_overlay_individual_and_combined.png,90cls_plots/v2_dimuon/combined_ul_bands_combined_all_90cls_dimuon_for_plotting.csv,,appendix historical only,"No July-8 final-pre-unblind individual-versus-combined overlay was found; do not label the June plot as current"
