schema_version,study_id,repair_row_id,repair_attempt_id,variant,variant_order,warm_start,repair_reason,target_task_id,target_factor,truth_model,study_scenario,background_toy_index,mass_GeV,mass_MeV,target_config,target_config_sha256,nominal_kernel_constant_init,warm_start_source_factor,warm_start_source_attempt_path,warm_start_ls_opt,warm_start_const_opt,current_target_lml_at_plan,source_lml_at_plan,repair_base_seed,planned_optimizer_seed,optimizer_restarts,expected_limit_bands,interpolation_used,fit_code_commit,dry_run,execution_authorized,fit_launched
1,v4p1_2021_ls_exposure_ensembles_20260804,repair__f06__gengamma__2021_10pct__t0009__m050,repair__f06__gengamma__2021_10pct__t0009__m050__salt_01,salt_01,1,False,lower_factor_optimizer_miss;unresolved_exact_initialization_state,scan__f06__gengamma__2021_10pct__t0009,6,gengamma,2021_10pct,9,0.05,50,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_06.yaml,ab1cfb0f1bf679ab62b497c306687a17684eba784fc33ba0c217b2c49c61ad2c,1.0,,,,,961.0723800156968,,532378927,3952666487,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,repair__f06__gengamma__2021_10pct__t0009__m050,repair__f06__gengamma__2021_10pct__t0009__m050__salt_02,salt_02,2,False,lower_factor_optimizer_miss;unresolved_exact_initialization_state,scan__f06__gengamma__2021_10pct__t0009,6,gengamma,2021_10pct,9,0.05,50,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_06.yaml,ab1cfb0f1bf679ab62b497c306687a17684eba784fc33ba0c217b2c49c61ad2c,1.0,,,,,961.0723800156968,,4087313400,672527905,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,repair__f06__gengamma__2021_10pct__t0009__m050,repair__f06__gengamma__2021_10pct__t0009__m050__salt_03,salt_03,3,False,lower_factor_optimizer_miss;unresolved_exact_initialization_state,scan__f06__gengamma__2021_10pct__t0009,6,gengamma,2021_10pct,9,0.05,50,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_06.yaml,ab1cfb0f1bf679ab62b497c306687a17684eba784fc33ba0c217b2c49c61ad2c,1.0,,,,,961.0723800156968,,4251298605,3426086060,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,repair__f06__gengamma__2021_10pct__t0009__m050,repair__f06__gengamma__2021_10pct__t0009__m050__warm,warm,4,True,lower_factor_optimizer_miss;unresolved_exact_initialization_state,scan__f06__gengamma__2021_10pct__t0009,6,gengamma,2021_10pct,9,0.05,50,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_06.yaml,ab1cfb0f1bf679ab62b497c306687a17684eba784fc33ba0c217b2c49c61ad2c,1.0,25.0,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f25/gengamma/2021_10pct/toy_0009/grid_050_020_250/attempt_001,0.2050889489557788,1.0,961.0723800156968,1310.2074721626689,3100138906,324943653,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,repair__f06__gengamma__2021_10pct__t0009__m070,repair__f06__gengamma__2021_10pct__t0009__m070__salt_01,salt_01,1,False,lower_factor_optimizer_miss;unresolved_exact_initialization_state,scan__f06__gengamma__2021_10pct__t0009,6,gengamma,2021_10pct,9,0.07,70,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_06.yaml,ab1cfb0f1bf679ab62b497c306687a17684eba784fc33ba0c217b2c49c61ad2c,1.0,,,,,727.1154135374634,,579113817,1816083937,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,repair__f06__gengamma__2021_10pct__t0009__m070,repair__f06__gengamma__2021_10pct__t0009__m070__salt_02,salt_02,2,False,lower_factor_optimizer_miss;unresolved_exact_initialization_state,scan__f06__gengamma__2021_10pct__t0009,6,gengamma,2021_10pct,9,0.07,70,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_06.yaml,ab1cfb0f1bf679ab62b497c306687a17684eba784fc33ba0c217b2c49c61ad2c,1.0,,,,,727.1154135374634,,127676688,3677260689,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,repair__f06__gengamma__2021_10pct__t0009__m070,repair__f06__gengamma__2021_10pct__t0009__m070__salt_03,salt_03,3,False,lower_factor_optimizer_miss;unresolved_exact_initialization_state,scan__f06__gengamma__2021_10pct__t0009,6,gengamma,2021_10pct,9,0.07,70,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_06.yaml,ab1cfb0f1bf679ab62b497c306687a17684eba784fc33ba0c217b2c49c61ad2c,1.0,,,,,727.1154135374634,,1166252546,2029779342,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,repair__f06__gengamma__2021_10pct__t0009__m070,repair__f06__gengamma__2021_10pct__t0009__m070__warm,warm,4,True,lower_factor_optimizer_miss;unresolved_exact_initialization_state,scan__f06__gengamma__2021_10pct__t0009,6,gengamma,2021_10pct,9,0.07,70,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_06.yaml,ab1cfb0f1bf679ab62b497c306687a17684eba784fc33ba0c217b2c49c61ad2c,1.0,25.0,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f25/gengamma/2021_10pct/toy_0009/grid_050_020_250/attempt_001,0.160299044324051,1.0,727.1154135374634,1200.0984653370672,1585250199,2213826863,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,repair__f06__gengamma__2021_10pct_x10__t0006__m150,repair__f06__gengamma__2021_10pct_x10__t0006__m150__salt_01,salt_01,1,False,lower_factor_optimizer_miss,scan__f06__gengamma__2021_10pct_x10__t0006,6,gengamma,2021_10pct_x10,6,0.15,150,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_06.yaml,ab1cfb0f1bf679ab62b497c306687a17684eba784fc33ba0c217b2c49c61ad2c,1.0,,,,,940.0306774843737,,3470143970,4041382183,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,repair__f06__gengamma__2021_10pct_x10__t0006__m150,repair__f06__gengamma__2021_10pct_x10__t0006__m150__salt_02,salt_02,2,False,lower_factor_optimizer_miss,scan__f06__gengamma__2021_10pct_x10__t0006,6,gengamma,2021_10pct_x10,6,0.15,150,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_06.yaml,ab1cfb0f1bf679ab62b497c306687a17684eba784fc33ba0c217b2c49c61ad2c,1.0,,,,,940.0306774843737,,137643691,3348760371,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
