dataset,latent_clip_fallback,latent_draw_attempts,latent_minimum_before_fallback,mass_GeV,mass_MeV,observation_max,observation_min,observation_sha256,observation_sum,seed_descriptor,toy_id
2015,False,1,28717.65009113592,0.019,19,117193,28540,c1ed9dcaac134615969d170561e9ac5e3280ee91b8e6c3d1b75e78459da1c9f5,1146737,"[491204,19,0,0]",0
2015,False,1,28727.050699190007,0.019,19,116393,28465,32f80c00d1d55cf207b2ee073cd1eab25b1f43048f82f77493d3b30a7b0822da,1143673,"[491204,19,1,0]",1
2015,False,1,28441.021137832988,0.019,19,116503,28317,fde964f86ba0e4e83f8fa74c00daaecb4219f111ea85e36620abb40ce18a49d7,1135635,"[491204,19,2,0]",2
2015,False,1,28615.13561339263,0.019,19,116624,28703,6fc6e1ac5751f1606993302c5c6bbbdca8e21d7d94a71249326ede0bc84ccd33,1141135,"[491204,19,3,0]",3
2015,False,1,28876.455138067053,0.019,19,116346,28943,d03d204a67ae14759cd0e63ce95dde67c17c757f1fb745623367b43669d33f11,1144387,"[491204,19,4,0]",4
2015,False,1,28676.940755161213,0.019,19,115865,28624,e1cd7a41327847bec6999f717ccebf2c5de7c8ef6adfd5a679fe16d01ee5a509,1139896,"[491204,19,5,0]",5
2015,False,1,28476.80591729189,0.019,19,116339,28829,777e6290c9114a93c55c657314999731156269abdb061ac4f5d0704810ba53df,1132933,"[491204,19,6,0]",6
2015,False,1,28633.57883362911,0.019,19,116758,28406,c04befaa05967f40ac301d65b1b09f725ce5ad7f410e7c53cffcb6cf2a786b38,1145063,"[491204,19,7,0]",7
2015,False,1,28307.97913856718,0.019,19,115953,28425,b121b726aca9429e13249883f6d89512a9426e1dd860a55afa6281eb4fee4e67,1135656,"[491204,19,8,0]",8
2015,False,1,28656.322446310645,0.019,19,116411,28706,ab7908e0636556dd11774e4f4f57a4586e11c6c5b3d9c93e2652156daedd90f5,1144297,"[491204,19,9,0]",9
2015,False,1,28608.751868728985,0.019,19,116666,28651,5977af7d0fb7fbdc5d6dff37a369af6929a556a586200f1e09f84c3350a9ccc4,1142856,"[491204,19,10,0]",10
2015,False,1,28631.707049276425,0.019,19,116932,28521,093dd8466f759f7a9fe6d0b745195a4e04aaffbffb46b2dfcf44e652cb426e92,1141350,"[491204,19,11,0]",11
2015,False,1,28699.804151443423,0.019,19,116293,28740,8559ce122b60d136e4e1480e8e7732a87eafbc59444630220d37d78ed067678e,1144335,"[491204,19,12,0]",12
2015,False,1,28699.588843165693,0.019,19,116627,28829,fcd12b69074532aab0788d9b4f07d9d94328b6df92fd969b9a7c5aa95686451c,1142306,"[491204,19,13,0]",13
2015,False,1,28477.9288671065,0.019,19,116131,28133,9f6dd785440397fcba15a840f22ff3b9b43075d5503a9cd955cb8b51a3fa8631,1136602,"[491204,19,14,0]",14
2015,False,1,28714.585887808364,0.019,19,116588,29180,14d1579040de56c2309a8f23f8b363106b63a6961c8829c9c9d25ac42c2781f1,1142233,"[491204,19,15,0]",15
2015,False,1,28537.59728911834,0.019,19,116054,28415,8d3f126411da35521413f67cb429787c77b537702d4849e4aa2fd9d72ad584b7,1136824,"[491204,19,16,0]",16
